time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/approx_kl,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
636,23,59,14750,-0.5278565388917923,980,179.7849884033203,0.3,262.97534408569334,0.02330337,326.26666666666665,0.0003,-0.004723763873229458,326.26666666666665,-0.00031006336212158203,0.06159999988973141,,
638,23,60,15000,-0.49983995854854585,990,79.96553039550781,0.3,265.67294967651367,0.012679393,326.26666666666665,0.0003,-0.010448521644249524,326.26666666666665,9.429454803466797e-05,0.0227999996393919,,
639,23,61,15250,-0.5405673933029175,1000,38.29487609863281,0.3,66.11408752441406,0.001344921,330.04347826086956,0.0003,-0.0005479815843980873,330.04347826086956,0.008085489273071289,0.0,,
641,24,62,15500,-0.5678033816814423,1010,37.79014205932617,0.3,61.62086135864258,0.0010037919,330.04347826086956,0.0003,-0.0018948495669464905,330.04347826086956,-8.022785186767578e-05,0.0,,
642,24,63,15750,-0.5215592831373215,1020,37.68980026245117,0.3,65.36039070129395,0.0042935074,333.02127659574467,0.0003,-0.00457684116025348,333.02127659574467,0.02581179141998291,0.0007999999821186065,,
,,,16000,-0.5281000357866287,1030,37.782752990722656,0.3,74.9168344116211,0.0015169935,,0.0003,-0.0008091946510598192,,0.7175473272800446,0.0,359.4,359.4
631,25,64,16000,,,,,,,326.3265306122449,,,326.3265306122449,,,,
628,25,65,16250,-0.5421046537160873,1040,39.918235778808594,0.3,103.42110069274902,0.0012677577,323.64,0.0003,-0.001023225908178773,323.64,0.7774502336978912,0.0,,
627,26,66,16500,-0.5344670593738556,1050,32.5751953125,0.3,58.23855270385742,0.0006001759,320.9019607843137,0.0003,-0.00030680461230804925,320.9019607843137,0.9090389907360077,0.0,,
615,27,67,16750,-0.5652682948112487,1060,34.006378173828125,0.3,55.192999267578124,3.476596e-05,319.8076923076923,0.0003,0.00022089485831472188,319.8076923076923,0.922080785036087,0.0,,
615,27,68,17000,-0.5467746865749359,1070,29.620656967163086,0.3,52.31438888549805,0.0051375343,317.37735849056605,0.0003,-0.003596281685522982,317.37735849056605,0.946513045579195,0.0011999999731779098,,
616,27,69,17250,-0.5292611300945282,1080,59.460262298583984,0.3,189.7609649658203,0.0010337944,318.4259259259259,0.0003,-0.0038504331357748,318.4259259259259,0.3335123658180237,0.0,,
616,28,70,17500,-0.5638943183422088,1090,29.198087692260742,0.3,43.16733657836914,0.014515096,315.23636363636365,0.0003,-0.005765281212411395,315.23636363636365,0.9760302398353815,0.012799999713897704,,
616,28,71,17750,-0.5577411270141601,1100,25.32971954345703,0.3,51.45107795715332,0.0033581008,313.01785714285717,0.0003,-0.001888932258936986,313.01785714285717,0.9367786198854446,0.0,,
,,,18000,-0.5372241032123566,1110,26.75316047668457,0.3,49.89352615356445,0.011591511,,0.0003,-0.0037489396767952598,,0.9712188746780157,0.009999999776482582,398.8,398.8
610,29,72,18000,,,,,,,311.50877192982455,,,311.50877192982455,,,,
613,29,73,18250,-0.5518203181028366,1120,30.16952133178711,0.3,52.217424392700195,0.0009255662,312.3965517241379,0.0003,-0.0017377948900277218,312.3965517241379,0.9555619545280933,0.0,,
614,30,74,18500,-0.5404336458444595,1130,23.963985443115234,0.3,38.29967170715332,0.037270524,312.3965517241379,0.0003,-0.014317352037600414,312.3965517241379,0.9936863812617958,0.07679999992251396,,
614,30,75,18750,-0.5313845646381378,1140,36.90972137451172,0.3,64.12402519226075,0.007117606,315.5762711864407,0.0003,-0.0050879616233363125,315.5762711864407,-0.03453242778778076,0.002799999937415123,,
616,30,76,19000,-0.540192123055458,1150,32.195858001708984,0.3,59.227433319091794,0.0016954632,315.5762711864407,0.0003,-0.00248046533965379,315.5762711864407,-0.005057573318481445,0.0,,
616,31,77,19250,-0.5452842962741852,1160,37.66838836669922,0.3,62.930177764892576,0.01121819,318.65,0.0003,-0.009328211241914061,318.65,0.0023328661918640137,0.015199999660253524,,
616,31,78,19500,-0.5359670323133469,1170,35.582881927490234,0.3,59.09739295959473,0.0015498832,318.65,0.0003,-0.0012782585837931037,318.65,-0.012574315071105957,0.0,,
617,31,79,19750,-0.5615963113307952,1180,36.48374938964844,0.3,62.75049240112305,0.00013115215,321.62295081967216,0.0003,-0.0001319195278870211,321.62295081967216,-0.00015270709991455078,0.0,,
,,,20000,-0.5610067546367645,1190,34.61050033569336,0.3,58.87358749389649,0.00068600784,,0.0003,-0.0011371299991209582,,0.0001341104507446289,0.0,431.4,431.4
611,32,80,20000,,,,,,,321.62295081967216,,,321.62295081967216,,,,
613,33,81,20250,-0.5773877835273743,1200,37.181114196777344,0.3,62.53753555297852,0.0011196114,320.53968253968253,0.0003,-0.0024764957628190132,320.53968253968253,0.000704348087310791,0.0,,
614,33,82,20500,-0.5192652422189713,1210,42.40534973144531,0.3,342.70170356750486,0.023373067,320.53968253968253,0.0003,-0.015366963028209285,320.53968253968253,2.9206275939941406e-05,0.07279999949038028,,
