time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/explained_variance,eval/mean_reward,eval/mean_ep_length
395,20,33,8250,42.15042495727539,0.3,70.10825553894043,247.3030303030303,-0.0020940387126509564,0.002201996,0.0,0.0003,247.3030303030303,-0.5605013287067413,720,-2.872943878173828e-05,,
393,21,34,8500,38.179256439208984,0.3,65.7761036682129,247.3030303030303,-0.002719407382729706,0.0022380606,0.0,0.0003,247.3030303030303,-0.5747439253330231,730,-0.00011682510375976562,,
398,21,35,8750,42.71183776855469,0.3,69.80307220458984,254.73529411764707,-0.004228501391736472,0.0025224546,0.0,0.0003,254.73529411764707,-0.562556403875351,740,-0.0011008977890014648,,
403,22,36,9000,37.006492614746094,0.3,65.49000930786133,254.73529411764707,-0.0018841318034708366,0.0018272267,0.0,0.0003,254.73529411764707,-0.5785426127910615,750,-0.00040328502655029297,,
407,22,37,9250,41.213741302490234,0.3,69.49589126586915,261.74285714285713,-0.00013418029365126925,0.00028027533,0.0,0.0003,261.74285714285713,-0.5866280341148377,760,-0.0004665851593017578,,
411,23,38,9500,38.67313766479492,0.3,65.20151145935058,261.74285714285713,-0.0002368439538668099,0.00016925538,0.0,0.0003,261.74285714285713,-0.5720042431354523,770,-0.0006324052810668945,,
415,23,39,9750,40.54166030883789,0.3,69.18712417602539,261.56756756756755,-0.00434954624966764,0.0054877563,0.0,0.0003,261.56756756756755,-0.5792903065681457,780,-0.0004546642303466797,,
,,,10000,149.7119140625,0.3,328.7889694213867,,-0.001826812266360509,0.040759604,0.20120000071823596,0.0003,,-0.5157457613945007,790,-0.00018107891082763672,193.2,193.2
415,24,40,10000,,,,259.39473684210526,,,,,259.39473684210526,,,,,
419,24,41,10250,49.89656448364258,0.3,201.18637466430664,255.175,0.002336978274246215,0.002167017,0.0007999999821186065,0.0003,255.175,-0.566733078956604,800,-8.618831634521484e-05,,
423,24,42,10500,221.6835479736328,0.3,339.2918096923828,255.4390243902439,0.000622790588322104,0.0051173335,0.005999999865889549,0.0003,255.4390243902439,-0.5710158109664917,810,-0.00017940998077392578,,
427,25,43,10750,68.9007568359375,0.3,205.4111678314209,255.4390243902439,-0.007382794764458777,0.010740492,0.009199999794363976,0.0003,255.4390243902439,-0.5461539649963378,820,-6.35385513305664e-05,,
431,25,44,11000,39.46715545654297,0.3,68.76100463867188,257.0952380952381,-0.0014267675688257242,0.004870133,0.0007999999821186065,0.0003,257.0952380952381,-0.5679515969753265,830,-0.0004965066909790039,,
433,25,45,11250,159.42007446289062,0.3,210.73649185180665,256.16279069767444,-0.01942608546783447,0.019810813,0.05119999930262566,0.0003,256.16279069767444,-0.5740859532356262,840,-4.9114227294921875e-05,,
435,26,46,11500,124.57614135742188,0.3,218.45127502441406,259.40909090909093,-0.0022286953979266857,0.0020569465,0.0,0.0003,259.40909090909093,-0.5658022010326386,850,-1.9431114196777344e-05,,
439,26,47,11750,42.35634231567383,0.3,217.1043264770508,259.40909090909093,0.001362735407886788,0.007012761,0.021599999517202376,0.0003,259.40909090909093,-0.5321433877944947,860,-5.9604644775390625e-06,,
,,,12000,42.45830154418945,0.3,68.30429649353027,,-0.00031730585871409645,0.0009830293,0.0,0.0003,,-0.5539296984672546,870,0.0017666816711425781,343.2,343.2
436,27,48,12000,,,,263.75555555555553,,,,,263.75555555555553,,,,,
428,28,49,12250,301.486328125,0.3,223.27274185180664,263.5652173913044,-0.0037891577557020283,0.013878858,0.01439999982714653,0.0003,263.5652173913044,-0.5565623092651367,880,0.00018966197967529297,,
419,29,50,12500,44.454627990722656,0.3,226.47388214111328,264.6170212765957,-0.007215226478426491,0.006741935,0.0011999999731779098,0.0003,264.6170212765957,-0.5549975609779358,890,0.0005333423614501953,,
421,30,51,12750,195.24249267578125,0.3,220.0538217163086,264.125,-0.0004834141492378308,0.000517457,0.0,0.0003,264.125,-0.5479610097408295,900,0.014576375484466553,,
421,30,52,13000,42.5911979675293,0.3,209.39399536132814,259.98,-0.006214961244694166,0.0068366257,0.001599999964237213,0.0003,259.98,-0.5542991650104523,910,0.10196977853775024,,
422,31,53,13250,173.34909057617188,0.3,302.2687097167969,259.98,-0.00550968559394823,0.0029160627,0.0,0.0003,259.98,-0.548101499080658,920,0.14167273044586182,,
422,31,54,13500,22.13849449157715,0.3,44.18550102233887,260.72549019607845,-0.0037969401386959587,0.0052947635,0.0,0.0003,260.72549019607845,-0.5550399219989777,930,0.9059734493494034,,
418,32,55,13750,210.71656799316406,0.3,234.87946044921875,260.1730769230769,-0.005940627755463339,0.002863972,0.0,0.0003,260.1730769230769,-0.5146916288137436,940,0.014174342155456543,,
,,,14000,90.99775695800781,0.3,118.10653038024903,,0.00016528594862897706,0.00010028852,0.0,0.0003,,-0.5501914072036743,950,0.5840799808502197,238.8,238.8
399,35,56,14000,,,,260.9811320754717,,,,,260.9811320754717,,,,,
401,35,57,14250,158.29983520507812,0.3,235.64018501281737,260.9811320754717,-0.010526121950931699,0.024016552,0.055999999344348905,0.0003,260.9811320754717,-0.5495236873626709,960,-0.01134490966796875,,
402,36,58,14500,37.64402770996094,0.3,66.76214973449707,265.4074074074074,0.00028505978040339387,0.000496425,0.0,0.0003,265.4074074074074,-0.559323388338089,970,0.01829618215560913,,
403,36,59,14750,34.29484176635742,0.3,59.585535202026364,265.8181818181818,-0.00667942307415359,0.005034487,0.0011999999731779098,0.0003,265.8181818181818,-0.5528927767276763,980,0.1861674189567566,,
402,37,60,15000,45.32627487182617,0.3,255.22369651794435,265.8181818181818,-0.008912592300177486,0.015385903,0.05719999961555004,0.0003,265.8181818181818,-0.5339511877298355,990,-0.0010012388229370117,,
403,37,61,15250,38.64429473876953,0.3,66.5543187713623,270.0,-0.0017524569166585025,0.0011114056,0.0,0.0003,270.0,-0.5193320786952973,1000,0.0020412802696228027,,
406,38,62,15500,37.30366897583008,0.3,61.86021926879883,270.0,-0.0009798662378784685,0.00029324545,0.0,0.0003,270.0,-0.5038967436552048,1010,0.0031772255897521973,,
408,38,63,15750,37.64387512207031,0.3,65.67026489257813,274.03508771929825,-0.0005081168227246957,0.00016046262,0.0,0.0003,274.03508771929825,-0.5303888005018235,1020,0.00892108678817749,,
,,,16000,37.00945281982422,0.3,61.624231872558596,,-0.0005621926130180555,0.00029478647,0.0,0.0003,,-0.5477007627487183,1030,-0.0019472837448120117,448.4,448.4
404,39,64,16000,,,,274.03508771929825,,,,,274.03508771929825,,,,,
408,39,65,16250,36.58246612548828,0.3,65.4032967376709,277.9310344827586,-0.0019923054794583096,0.00082517846,0.0,0.0003,277.9310344827586,-0.5250358784198761,1040,-0.003435492515563965,,
408,40,66,16500,34.88410568237305,0.3,61.31406394958496,277.9310344827586,-0.0009541019261290806,0.000655975,0.0,0.0003,277.9310344827586,-0.5294079971313477,1050,0.010156571865081787,,
410,40,67,16750,38.58953857421875,0.3,65.12249465942382,281.6949152542373,-0.00806097955878954,0.008427052,0.0023999999463558195,0.0003,281.6949152542373,-0.553215833902359,1060,-0.0006135702133178711,,
411,41,68,17000,34.71862030029297,0.3,61.06177406311035,281.43333333333334,-0.003466909716313182,0.003038533,0.0,0.0003,281.43333333333334,-0.5020248180627823,1070,0.008864164352416992,,
411,41,69,17250,64.40714263916016,0.3,210.42870712280273,280.1967213114754,-0.002449870541124248,0.00058371795,0.0,0.0003,280.1967213114754,-0.5033145838975907,1080,0.04209405183792114,,
413,42,70,17500,153.09927368164062,0.3,216.81408233642577,280.48387096774195,-0.0006664952870014673,0.00026966012,0.0,0.0003,280.48387096774195,-0.5376212793588638,1090,0.249200701713562,,
